Период;Контрагент;ТМ;Количество;Стоимость;Валовый Доход;Тип
2022-11-28;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-28;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-28;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-28;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-28;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-28;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-28;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-28;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-28;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-28;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-29;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-29;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-29;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-29;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-29;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-29;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-29;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-29;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-29;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-29;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-30;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-30;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-30;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-30;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-30;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-30;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-30;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-30;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-30;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-30;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
